City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Carutapera,BR,76.35,moderate rain,-1.195,-46.02,Lidera
215,Pemba,MZ,78.64,scattered clouds,-12.974,40.5178,Guesthouse Samotina
217,Rondonopolis,BR,75.09,overcast clouds,-16.4708,-54.6356,Serras Hotel
219,Camocim,BR,79.63,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
220,Caravelas,BR,76.19,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
225,Vao,NC,79.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
226,Mandeville,JM,73.45,scattered clouds,18.0417,-77.5071,Mandeville Hotel
227,Bubaque,GW,78.08,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
228,Sechura,PE,78.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
231,Tual,ID,80.31,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
235,Reo,BF,76.03,clear sky,12.3167,-2.4667,Hôtel Deogratias
238,Bara,NG,73.36,clear sky,10.3744,10.7288,name
245,Meulaboh,ID,76.23,moderate rain,4.1363,96.1285,Kost Pria
247,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
253,Soc Trang,VN,75.16,broken clouds,9.6033,105.98,Phu Quy Hotel
255,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
257,Mahibadhoo,MV,81.0,overcast clouds,3.7833,72.9667,Omadhoo Inn
261,Delta,NG,79.25,scattered clouds,5.5,6.0,Prestige Hotel
262,Aloleng,PH,77.59,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
267,Santo Tomas,PH,77.58,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
271,Itapui,BR,72.5,clear sky,-22.2333,-48.7192,Camping Municipal de Itapuí
272,Henderson,US,74.75,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
273,Le Port,RE,78.8,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
279,Mecca,SA,73.33,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
280,Trinidad,BO,74.98,broken clouds,-14.8333,-64.9,Hotel Piesta
281,Praia,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
284,Kavaratti,IN,80.13,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
294,Ikirun,NG,76.37,few clouds,7.9167,4.6667,Turode Hotel
297,Angoche,MZ,77.29,few clouds,-16.2325,39.9086,Guest House HESADA
299,Cozumel,MX,78.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
300,Acarau,BR,79.72,few clouds,-2.8856,-40.12,castelo pizzaria
304,Oriximina,BR,78.66,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
310,Marsh Harbour,BS,73.67,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
315,Progreso,MX,73.51,broken clouds,21.2833,-89.6667,Playa Linda Hotel
