City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Gurupi,BR,-11.7292,-49.0686,73.35,93,86,3.06,overcast clouds
146,Bayir,TR,37.2687,28.2167,37.92,90,7,3.83,clear sky
147,Kuttigen,CH,47.4167,8.05,36.5,89,5,3.38,clear sky
148,Andenes,NO,69.3143,16.1194,30.18,69,40,11.5,scattered clouds
149,Key Largo,US,25.0865,-80.4473,73.99,79,100,14.85,overcast clouds
150,Nikolskoye,RU,59.7035,30.7861,33.71,92,100,12.21,light snow
151,Butaritari,KI,3.0707,172.7902,80.8,79,68,12.53,moderate rain
152,Bowen,AU,-20.0167,148.2333,81.48,63,33,19.93,scattered clouds
153,Banda Aceh,ID,5.5577,95.3222,77.9,76,44,6.13,scattered clouds
154,Longyearbyen,SJ,78.2186,15.6401,15.64,92,100,6.91,light snow
155,Huarmey,PE,-10.0681,-78.1522,74.46,75,25,10.18,scattered clouds
156,Vila Velha,BR,-20.3297,-40.2925,75.15,96,100,6.91,overcast clouds
157,Dubbo,AU,-32.25,148.6167,69.93,60,100,12.66,overcast clouds
158,Zelenoborskiy,RU,66.845,32.3622,21.2,96,100,8.46,light snow
159,Buala,SB,-8.145,159.5921,82.02,79,93,8.63,light rain
160,Vaini,TO,-21.2,-175.2,80.71,73,90,18.95,overcast clouds
161,Krasnoselkup,RU,65.7,82.4667,-2.49,94,68,13.47,broken clouds
162,Lensk,RU,60.7253,114.9278,-21.3,99,76,1.72,broken clouds
163,Fortuna,US,40.5982,-124.1573,75.18,100,100,6.91,overcast clouds
164,Mount Isa,AU,-20.7333,139.5,80.37,65,39,5.75,scattered clouds
165,Nevelsk,RU,46.6733,141.8633,21.63,80,92,10.27,overcast clouds
166,Diamantino,BR,-14.4086,-56.4461,74.3,93,89,0.2,light rain
167,Puerto Ayora,EC,-0.7393,-90.3518,76.55,90,91,1.01,overcast clouds
168,Avera,US,33.194,-82.5271,54.28,32,6,16.96,clear sky
169,Nicoya,CR,10.1483,-85.452,81.95,51,39,15.48,scattered clouds
170,Ambatondrazaka,MG,-17.8333,48.4167,67.08,95,56,3.87,broken clouds
